LOADING_INTRO|LOADING, PLEASE WAIT...
HAS_NICKNAME_PASSWORD|Do you have an account with nickname and password?
LOGIN_WITH_NICKNAME|LOGIN WITH NICKNAME
Disclosure_Facebook|WE WILL NOT POST ANYTHING WITHOUT YOUR CONSENT
CONNECT_WITH_FACEBOOK|CONNECT WITH FACEBOOK
CREATE_NEW_ACCOUNT|CREATE NEW ACCOUNT
LOGIN|LOGIN
PLAY_WITHOUT_LOGIN|PLAY
INSERT_YOUR_DATA|ENTER YOUR DATA
Forgot_your_password|FORGET YOUR PASSWORD OR NICKNAME ?
All_fields_are_required|<size=26>All fields are required.</size>
OK|OK
SIGN_IN|SIGN-IN
Email_Validate|<size=26>Email address is not valid</size>
Connection|Connection to game...
Network_Error_Create_Player|<size=26>Network error.\nUnable to create user.</size>
Nickname_Already_Use|<size=26>Error.\nNickname already in use.</size>
Email_Already_Use|<size=26>Email already in use.</size>
Unable_Create_User|<size=26>Unable to create user.</size>
New_Account_Created|<size=26>New account created.</size>
Network_Error_Login|<size=26>Network error.\nCheck internet connection.</size>
Invalid_Credentials|<size=26>Invalid credentials.</size>
Locked_Account|<size=26>Account has been locked temporarily.\nPlease try again later.</size>
CLOSE|CLOSE
Quit_Game|<size=26>Do you want to quit the game?</size>
YES|YES
NO|NO
MENU|MENU
LEADERBOARDS|LEADERBOARDS
CHAMPIONS|CHAMPIONS
PLAYERS_LISTS|PLAYERS LISTS
OPTIONS|OPTIONS
PROFILE|PROFILE
HELP|HELP
MORE_GAMES|MORE GAMES
STORE|STORE
WRITE_US|WRITE US
CHANGE_PROFILE|CHANGE PROFILE
ERROR_ADD_FACEBOOK|<size=26>Can not connect the facebook account to game.</size>
ACCOUNT_UPDATE|<size=26>Account connected to Facebook</size>
ACCOUNT_ALREADY_FACEBOOK|<size=26>The account is already connected to Facebook</size>
TITLE_BANNER_PROFILE_PREMIUM|<size=26>PREMIUM PROFILE</size>
MSG_BANNER_PROFILE_PREMIUM|<size=16>SELECT NEW FANTASTIC IMAGES \nFOR YOUR PROFILE</size>
BUTTON_BANNER_PROFILE_PREMIUM|DISCOVER
CHANGE_USERNAME_PLACEHOLDER|NEW NICKNAME
LABEL_CHANGE_AVATAR|SELECT YOUR AVATAR
WANT_SAVE_PROFILE_CHANGE|<size=26>Do you want to save changes to profile</size>
ERROR_SAVE_PROFILE_CHANGE|<size=26>Error.\nUnable to save changes to profile</size>
ERROR_USERNAME_EMPTY|<size=26>Error, to save you must enter a new nickname.</size>
MESSAGE_FIRST_CHANGE_USERNAME|<size=26>You can only change your nickname once.\n\nDo you want to proceed?</size>
MESSAGE_SUCCESS_CHANGE_USERNAME|<size=26>Nickname updated successfully!</size>
ERROR_COINS_CHANGE_USERNAME|<size=26>Sorry, you do not have enough coins.\nThe change of nickname has a cost of [%price] coins.</size>
MESSAGE_CONFIRM_CHANGE_USERNAME|<size=26>The change of nickname has a cost of [%price] coins.\n\nDo you want to proceed?</size>
BUTTON_SAVE_USERNAME|SAVE\nNICKNAME
disclaimer|Clicking the Sign-in button \nacknowledge that you have read and accept the \n<color=#FFFFFFFF>Terms and Conditions</color> and <color=#FFFFFFFF>Privacy Policy</color>
CARDS_DECK|CARDS DECK
BANNER_CARDS|Choose your original<size=35>\nCARDS</size>
Download|Download in progress:
CANCEL|CANCEL
TITLE_BANNER_BACKGROUND|<size=22>PREMIUM BACKGROUNDS</size>
MSG_BANNER_BACKGROUND|CUSTOMIZE YOUR TABLE \nWITH MANY GREAT BACKGROUNDS
PURCHASE|PURCHASE
Verde|GREEN
Rosso|RED
Blu|BLUE
Viola|VIOLET
Beige|BEIGE
Tovaglia|TABLECLOTH
Rovere|OAK
Teak|TEAK
BACKGROUNDS|BACKGROUNDS
YOUR_COINS|YOUR COINS
PURCHASE_COINS|BUY COINS
TITLE_REMOVE_ADS|<size=32>REMOVE\nADVERTISING</size>
MSG_REMOVE_ADS|REMOVE ALL THE ADVERTISING\nAND PLAY WITHOUT\nANY INTERRUPTIONS
RESTORE_PURCHASE|RESTORE PURCHASES
price_ads|only [%price] for month
MORE_DETAILS|DISCOVER
TITLE_AVATARS_PREMIUM|SUPER\nAVATAR
MSG_AVATARS_PREMIUM|CHOOSE AMONG THE MANY GREAT AVATARS TO HAVE AN EXCLUSIVE PROFILE
PRICE_AVATARS_PREMIUM|[%price]
TITLE_BACKGROUND_PREMIUM|EXCLUSIVE\n<size=32>BACKGROUNDS</size>
MSG_BACKGROUND_PREMIUM|CUSTOMIZE THE BACKGROUNDS\nOF YOUR TABLE WITH\nA UNIQUE SET OF IMAGES
PRICE_BACKGROUND_PREMIUM|[%price]
TITLE_BLOCK_PLAYERS|BLOCK\nPLAYERS
MSG_BLOCK_PLAYERS|INCREASE THE NUMBER OF\nPLAYERS YOU CAN BLOCK\nAND CHOOSE WHO TO PLAY AGAINST
PRICE_BLOCK_PLAYERS|<size=20>from [%price]</size>
TITLE_PREF_PLAYERS|FAVORITE\nOPPONENTS
MSG_PREF_PLAYERS|INCREASE THE NUMBER OF PLAYERS YOU WANT TO FIND EASY TO PLAY AGAIN
PRICE_PREF_PLAYERS|<size=20>from [%price]</size>
DETAILS_MENU|PRODUCT DETAILS
TROPHY|TROPHY
SCORES|SCORES
LEVEL|LEVEL
PURCHASE_SUCCESS|<size=26>Congratulations,\nsuccessful purchase!</size>
JUST_PURCHASE|<size=26>Item already purchased</size>
NOT_ENOUGH_COINS|<size=26>Sorry, not enough coins to make the purchase.\n\nDo you want to buy coins?</size>
PURCHASE_FAIL|<size=26>Sorry, purchase failed. Try later</size>
SD_PRICE_AVATAR_FEMALE|[%price]
SD_PRICE_AVATAR_MALE|[%price]
SD_TITLE_AVATAR_FEMALE|SUPER AVATAR FOR HER
SD_TITLE_AVATAR_MALE|SUPER AVATAR FOR HIM
SD_MSG_AVATAR_FEMALE|Buy the package of four fantastic avatars to give to your profile just the right touch of exclusivity with which stand out
SD_MSG_AVATAR_MALE|Buy the package of four fantastic avatars that you can use at any time to customize your profile
SD_PRICE_BACKGROUNDS|[%price]
SD_TITLE_BACKGROUNDS|<size=29>YOUR EXCLUSIVE BACKGROUNDS</size>
SD_MSG_BACKGROUNDS|Decorate the background of the table with a fantastic series of images that will make your games even more exciting
SD_TITLE_BLOCK_PLAYERS|Block players
SD_MESSAGE_BLOCK_PLAYERS|Increase the number of players that you can\nenter in the list of blocked players
SD_MESSAGE_COLOR_BLOCK_PLAYERS|These players can not play with you!
SD_LABEL_CHOICE_BLOCK_PLAYERS|Choose the package you prefer
SD_TEXT_BLOCK_PLAYERS|Block[%num]\nother players
SD_PRICE_BLOCK_PLAYERS|[%price]
SD_BLOCK_PLAYERS_DISCOUNT|[%num]% discount!
SD_POST_IT_BLOCK_PLAYERS|Best buy
SD_TITLE_PREF_PLAYERS|Favorite players
SD_MESSAGE_PREF_PLAYERS|Increase the number of players that you can\nput in the list of favorite players
SD_MESSAGE_COLOR_PREF_PLAYERS|It will be easier\nto find them in the list of open tables!
SD_LABEL_CHOICE_PREF_PLAYERS|Choose the package you prefer
SD_TEXT_PREF_PLAYERS|Add other\n[%num] players
SD_PRICE_PREF_PLAYERS|[%price]
SD_PREF_PLAYERS_DISCOUNT|[%num]% discount!
TITLE_COINS_SMALL|SPECIAL OFFER
TITLE_COINS_MEDIUM|HANDFUL OF\nCOINS
TITLE_COINS_BIG|COINS\nRESERVE
TITLE_COINS_HUGE|SUPER STOCK OF\nCOINS
TITLE_COINS_MISTERY|MYSTERY BOX\n<size=14>HOW MANY COINS WILL YOU FIND?</size>
TITLE_COINS_GIFT|WELCOME\n<size=16>[%num] COINS GIFT</size>
COINS_SMALL|[%num]
COINS_MEDIUM|[%num]
COINS_BIG|[%num]
COINS_HUGE|[%num]
TEXT_COINS_SMALL|RATHER THAN\n<size=19>3,00€</size>
TEXT_COINS_GIFT|COLLECT\nYOUR GIFT
TEXT_COINS_MISTERY|TRY YOUR\nLUCK!
PRICE_COINS_SMALL|[%price]
PRICE_COINS_MEDIUM|[%price]
PRICE_COINS_BIG|[%price]
PRICE_COINS_HUGE|[%price]
PRICE_COINS_MISTERY|[%price]
PRICE_COINS_GIFT|FREE
MSG_SUCCESS_PURCHASE_COINS|<size=26>Congratulations, you have purchased [%num] coins</size>
MSG_SUCCESS_TAKED_GIFT|<size=26>Congratulations, you have withdrawn your gift of [%num] coins!</size>
MSG_FAIL_TAKED_GIFT|<size=26>Sorry there was an error, try to withdraw your gift later</size>
MSG_REMIND_GIFT|<size=26>Remember to withdraw your welcome gift.\nDo you want to do it now?</size>
MSG_FAILS_PURCHASE_COINS|<size=26>Sorry, not successful accreditation.\nTo proceed with accreditation, close and start again the application.</size>
MSG_FAILS_PURCHASE_VALIDATION|<size=26>Sorry, invalid purchase. Contact support of game</size>
CHOICE_LEVEL|CHOOSE TABLE
SINGLEPLAYER|SINGLE PLAYER
MULTIPLAYER|MULTIPLAYER
LEVEL_BEGINNER|BEGINNER\nLEVEL
LEVEL_MIDDLE|INTERMEDIATE\nLEVEL
LEVEL_EXPERT|EXPERT\nLEVEL
Pop_Up_Login|<size=26>To play in multiplayer mode you need to log in.\nWant to login?</size>
Beginner|Beginner
Intermediate|Intermediate
Expert|Expert
ERROR_NETWORK_MULTIPLAYER_MENU|<size=26>Network error.\nOnly single player game is possible.</size>
RANDOM_OPPONENT|RANDOM\nOPPONENT
CREATE_TABLE|CREATE\nTABLE
ALL_TABLES|ALL THE\nTABLES
OPEN_TABLES|OPEN TABLES
REMOVE_TABLE|REMOVE\nTABLE
OPTIONS_TITLE_CHOOSE_CARDS|Select the cards
OPTIONS_SUBTITLE_CHOOSE_CARDS|<size=12>Choose your favorite Dal Negro cards deck</size>
OPTIONS_TITLE_CHOOSE_BACK|Select the background
OPTIONS_SUBTITLE_CHOOSE_BACK|<size=12>Choose the table background</size>
OPTIONS_TITLE_SOUNDS|Sounds on/off
OPTIONS_SUBTITLE_SOUNDS|<size=12>Turns on and off the sounds in the game</size>
OPTIONS_TITLE_ROTATION|Rotation lock
OPTIONS_SUBTITLE_ROTATION|<size=12>Set the screen rotation</size>
OPTIONS_TITLE_SHOW_POINTS|Show Points
OPTIONS_SUBTITLE_SHOW_POINTS|Shows points during the game
OTHER_TABLES|OTHER TABLES
WAIT_ACCEPT_CHALLENGE|<size=26>Waiting for </size><size=26><color=#e57900ff>[%user]</color></size><size=26> to accept the challenge</size>
CHALLENGE_SENT|<size=28><color=#ffffffff>CHALLENGE SENT</color></size>
FOE_NOT_AVAILABLE|<size=26>Sorry, foe did not accept the challenge</size>
PLAY_WITH_YOU|<size=26><color=#e57900ff>[%user]</color> wants to play with you, do you accept?</size>
FOE_DENY|<size=26>Sorry, <color=#e57900ff>[%user]</color> did not accept the challenge</size>
LEAVE_GAME_SINGLE|<size=26>Are you sure you want to quit?</size>
LEAVE_GAME_MULTI|<size=26><color=#e57900ff>Complete the game</color> and even if you lose <color=#e57900ff>you gain [%coins] coin.</color>\n\nAre you sure you want to quit?</size>
TITLE_LEAVE_GAME_MULTI|<size=25>If you leave\nyou lose your reward</size>
NAME_GAME|BRISCOLA
WAIT_FULL_ROOM|<size=26>Waiting for other player...</size>
FOE_DISCONNECT|<size=26>Sorry, the opponent has lost the internet connection.</size>
IDLE_DISCONNECT|<size=26>Sorry, you have been disconnected for idle reasons</size>
UNKOWN_DISCONNECT|<size=26>Sorry, you have been disconnected for internet connection problems</size>
FOE_DISCONENCT_WITH_POINTS|<size=26>Sorry <color=#e57900ff>[%foe]</color> has left the table, you have gained [%score] points</size>
YOUR_TURN|Your turn
THINKING|Thinking...
CHAT|CHAT
ENABLE_CHAT|Enable chat
DISABLE_CHAT|Disable chat
PLACEHOLDER_CHAT|Insert message...
SEND|SEND
ERROR_NETWORK_LAST_GAMES|<size=26>Sorry, no network. It's  not possible to show the last opponents</size>
TITLE_LAST_GAMES|Last 20 Opponents
TEXT_LAST_GAMES|ADD TO THE FAVORITES LIST THE PLAYERS YOU WANT TO FIND.\nBLOCK THE PLAYERS YOU DON'T WANT TO PLAY AGAIN WITH.
BUTTON_PREF_PLAYER_LIST|FAVORITE\nPLAYERS
BUTTON_BLOCK_PLAYER_LIST|BLOCKED\nPLAYERS
BUTTON_ADD_PREF|ADD
BUTTON_ADD_BLOCK|BLOCK
TEXT_FREE_SLOT|FREE SLOTS
TEXT_JUST_ADDED|ADDED
TEXT_JUST_BLOCKED|BLOCKED
BLOCKS_MENU|BLOCKED PLAYERS
PREFS_MENU|FAVORITE PLAYERS
FEEDBACK_ADD_BLOCK|<size=26><color=#e57900ff>[%user]</color> has been inserted among the blocked players.\nHe won't be able to ask you to play.</size>
CONFIRM_REMOVE_BLOCK|<size=26>Are you sure you want to remove <color=#e57900ff>[%user]</color> from the blocked players list?</size>
BUTTON_REMOVE|REMOVE
MSG_BANNER_BLOCK|Increases the number of players\nthat can not play with you
TITLE_BANNER_BLOCK|Block other players
