LOADING_INTRO|CARGANDO, POR FAVOR ESPERE...
HAS_NICKNAME_PASSWORD|¿Tienes una cuenta con apodo y contraseña?
LOGIN_WITH_NICKNAME|ENTRA A TRAVES DE APODO
Disclosure_Facebook|NO VAMOS A PUBLICAR NADA SIN SU CONSENTIMIENTO
CONNECT_WITH_FACEBOOK|<size=20>ENTRA A TRAVES DE FACEBOOK</size>
CREATE_NEW_ACCOUNT|REGISTRATE
LOGIN|ENTRAR
PLAY_WITHOUT_LOGIN|CONTINUA
INSERT_YOUR_DATA|INTRODUZCA SUS DATOS
Forgot_your_password|<size=19>¿HAS OLVIDADO TU PASSWORD O NICKNAME?</size>
All_fields_are_required|<size=26>Todos los campos son obligatorios.</size>
OK|OK
SIGN_IN|REGISTRATE
Email_Validate|<size=26>Email no es válida</size>
Connection|Conexión server...
Network_Error_Create_Player|<size=26>Error de red.\nNo se puede crear el usuario.</size>
Nickname_Already_Use|<size=26>Error.\nNickname ya en uso.</size>
Email_Already_Use|<size=26>No se puede crear el usuario,\nemail ya está registrado</size>
Unable_Create_User|<size=26>No se puede crear el usuario.</size>
New_Account_Created|<size=26>Nuevo perfil creado.</size>
Network_Error_Login|<size=26>Error de red.\nCompruebe el Internet.</size>
Invalid_Credentials|<size=26>Credenciales no válidas.</size>
Locked_Account|<size=26>Cuenta bloqueada temporalmente.\nPor favor intentelo de nuevo mas tarde</size>
CLOSE|CERRAR
Quit_Game|<size=26>¿Estás seguro de querer abandonar la partida?</size>
YES|SI
NO|NO
MENU|MENU
LEADERBOARDS|CLASIFICACION
CHAMPIONS|CAMPEONES
PLAYERS_LISTS|OPONENTES
OPTIONS|OPCIONES
PROFILE|PERFIL
HELP|AYUDA
MORE_GAMES|OTROS JUEGOS
STORE|TIENDA
WRITE_US|ESCRIBANOS
CHANGE_PROFILE|EDITAR PERFIL
ERROR_ADD_FACEBOOK|<size=26>No se puede conectar la cuenta de Facebook para jugar.</size>
ACCOUNT_UPDATE|<size=26>Account conectado a Facebook/size>
ACCOUNT_ALREADY_FACEBOOK|<size=26>Account está ya conectado a Facebook</size>
TITLE_BANNER_PROFILE_PREMIUM|<size=26>PERFIL PREMIUM</size>
MSG_BANNER_PROFILE_PREMIUM|<size=16>SELECCIONAR NUEVAS IMAGENES \nFANTASTICAS PARA SU PERFIL</size>
BUTTON_BANNER_PROFILE_PREMIUM|DESCUBRIR
CHANGE_USERNAME_PLACEHOLDER|NUEVO NICKNAME
LABEL_CHANGE_AVATAR|ELIGE SU AVATAR
WANT_SAVE_PROFILE_CHANGE|<size=26>¿Quieres guardar los cambios en el perfil?</size>
ERROR_SAVE_PROFILE_CHANGE|<size=26>Error.\nNo se puede guardar los cambios en el perfil</size>
ERROR_USERNAME_EMPTY|<size=26>Error, para guardar debes introducir un nuevo apodo.</size>
MESSAGE_FIRST_CHANGE_USERNAME|<size=26>Solo puedes cambiar tu apodo una vez.\n\n¿Quieres proceder?</size>
MESSAGE_SUCCESS_CHANGE_USERNAME|<size=26>Apodo actualizado con éxito!</size>
ERROR_COINS_CHANGE_USERNAME|<size=26>Lo sentimos, no tienes suficientes monedas.\nEl cambio de apodo tiene un coste de [%price] monedas.</size>
