LOADING_INTRO|CARICAMENTO IN CORSO...
HAS_NICKNAME_PASSWORD|Hai già un account con nickname e password ?
LOGIN_WITH_NICKNAME|ACCEDI CON NICKNAME
Disclosure_Facebook|NON PUBBLICHEREMO NULLA SENZA IL TUO CONSENSO
CONNECT_WITH_FACEBOOK|CONNETTI CON FACEBOOK
CREATE_NEW_ACCOUNT|CREA NUOVO UTENTE
LOGIN|LOGIN
PLAY_WITHOUT_LOGIN|GIOCA
INSERT_YOUR_DATA|INSERISCI I TUOI DATI
Forgot_your_password|PASSWORD O NICKNAME DIMENTICATI ?
All_fields_are_required|<size=26>Tutti i campi sono richiesti.</size>
OK|OK
SIGN_IN|REGISTRA
Email_Validate|<size=26>Indirizzo email non valido</size>
Connection|Connessione al gioco...
Network_Error_Create_Player|<size=26>Spiacente assenza di rete.\nImpossibile creare l'utente.</size>
Nickname_Already_Use|<size=26>Impossibile creare utente,\nnickname già in uso.</size>
Email_Already_Use|<size=26>Impossibile creare utente,\nemail già registrata.</size>
Unable_Create_User|<size=26>Impossibile creare l'utente.</size>
New_Account_Created|<size=26>Nuovo utente creato.</size>
Network_Error_Login|<size=26>Spiacente assenza di rete.\nControllare la connessione internet.</size>
Invalid_Credentials|<size=26>Nickname o password non validi.</size>
Locked_Account|<size=26>Account temporaneamente bloccato.\nRiprovare più tardi.</size>
CLOSE|CHIUDI
Quit_Game|<size=26>Vuoi uscire dal gioco?</size>
YES|SI
NO|NO
MENU|MENU
LEADERBOARDS|CLASSIFICHE
CHAMPIONS|CAMPIONI
PLAYERS_LISTS|AVVERSARI
OPTIONS|OPZIONI
PROFILE|PROFILO
HELP|AIUTO
MORE_GAMES|ALTRI GIOCHI
STORE|NEGOZIO
WRITE_US|SCRIVICI
CHANGE_PROFILE|MODIFICA PROFILO
ERROR_ADD_FACEBOOK|<size=26>Impossibile collegare l'account facebook al gioco.</size>
ACCOUNT_UPDATE|<size=26>Complimenti, hai collegato il tuo account di gioco al tuo account di Facebook.</size>
ACCOUNT_ALREADY_FACEBOOK|<size=26>L'account è già collegato a Facebook</size>
