[1] = {12, 4}, 
[2] = {12, 4}, 
[3] = {12, 4}, 
[4] = {10, 0}, 
[5] = {10, 0}, 
[6] = {10, 3}, 
[7] = {11, 0}, 
[8] = {11, 0}, 
[9] = {11, 0}, 
[10] = {7, 0}, 
[11] = {7, 0}, 
[12] = {7, 3}, 
[13] = {7, 4}, 
[14] = {7, 4}, 
[15] = {7, 4}, 
[16] = {1, 3}, 
[17] = {1, 3}, 
[18] = {1, 3}, 
[19] = {1, 0}, 
[20] = {1, 0}, 
[21] = {1, 3}, 
[22] = {1, 3}, 
[23] = {4, 0}, 
[24] = {4, 0}, 
[25] = {13, 0}, 
[26] = {13, 0}, 
[27] = {5, 0}, 
[28] = {5, 0}, 
[29] = {4, 0}, 
[30] = {4, 0}, 
[31] = {4, 5}, 
[32] = {4, 0}, 
[33] = {4, 0}, 
[34] = {4, 5}, 
[35] = {18, 0}, 
[36] = {18, 0}, 
[37] = {10, 0}, 
[38] = {10, 0}, 
[39] = {1, 18}, 
[40] = {1, 18}, 
[41] = {4, 3}, 
[42] = {4, 3}, 
[43] = {12, 4}, 
[44] = {12, 4}, 
[45] = {12, 4}, 
[46] = {7, 12}, 
[47] = {7, 12}, 
[48] = {7, 4}, 
[49] = {7, 4}, 
[50] = {5, 0}, 
[51] = {5, 0}, 
[52] = {1, 0}, 
[53] = {1, 0}, 
[54] = {11, 0}, 
[55] = {11, 0}, 
[56] = {2, 0}, 
[57] = {2, 0}, 
[58] = {10, 0}, 
[59] = {10, 0}, 
[60] = {11, 0}, 
[61] = {11, 0}, 
[62] = {11, 2}, 
[63] = {14, 0}, 
[64] = {14, 0}, 
[65] = {14, 0}, 
[66] = {2, 0}, 
[67] = {2, 0}, 
[68] = {2, 0}, 
[69] = {12, 4}, 
[70] = {12, 4}, 
[71] = {12, 4}, 
[72] = {11, 4}, 
[73] = {11, 4}, 
[74] = {6, 5}, 
[75] = {6, 5}, 
[76] = {6, 5}, 
[77] = {10, 0}, 
[78] = {10, 0}, 
[79] = {11, 14}, 
[80] = {11, 14}, 
[81] = {13, 9}, 
[82] = {13, 9}, 
[83] = {1, 3}, 
[84] = {1, 3}, 
[85] = {1, 3}, 
[86] = {11, 0}, 
[87] = {11, 15}, 
[88] = {4, 0}, 
[89] = {4, 0}, 
[90] = {11, 0}, 
[91] = {11, 15}, 
[92] = {8, 4}, 
[93] = {8, 4}, 
[94] = {8, 4}, 
[95] = {6, 5}, 
[96] = {14, 0}, 
[97] = {14, 0}, 
[98] = {11, 0}, 
[99] = {11, 0}, 
[100] = {13, 0}, 
[101] = {13, 0}, 
[102] = {12, 14}, 
[103] = {12, 14}, 
[104] = {5, 0}, 
[105] = {5, 0}, 
[106] = {2, 0}, 
[107] = {2, 0}, 
[108] = {1, 0}, 
[109] = {4, 0}, 
[110] = {4, 0}, 
[111] = {5, 6}, 
[112] = {5, 6}, 
[113] = {1, 0}, 
[114] = {12, 0}, 
[115] = {1, 0}, 
[116] = {11, 0}, 
[117] = {11, 0}, 
[118] = {11, 0}, 
[119] = {11, 0}, 
[120] = {11, 0}, 
[121] = {11, 14}, 
[122] = {14, 18}, 
[123] = {7, 3}, 
[124] = {15, 14}, 
[125] = {13, 0}, 
[126] = {10, 0}, 
[127] = {7, 0}, 
[128] = {1, 0}, 
[129] = {11, 0}, 
[130] = {11, 3}, 
[131] = {11, 15}, 
[132] = {1, 0}, 
[133] = {1, 0}, 
[134] = {11, 0}, 
[135] = {13, 0}, 
[136] = {10, 0}, 
[137] = {1, 0}, 
[138] = {6, 11}, 
[139] = {6, 11}, 
[140] = {6, 11}, 
[141] = {6, 11}, 
[142] = {6, 3}, 
[143] = {1, 0}, 
[144] = {15, 3}, 
[145] = {13, 3}, 
[146] = {10, 3}, 
[147] = {16, 0}, 
[148] = {16, 0}, 
[149] = {16, 3}, 
[150] = {14, 0}, 
[151] = {14, 0}, 
[152] = {12, 0}, 
[153] = {12, 0}, 
[154] = {12, 0}, 
[155] = {10, 0}, 
[156] = {10, 0}, 
[157] = {10, 0}, 
[158] = {11, 0}, 
[159] = {11, 0}, 
[160] = {11, 0}, 
[161] = {1, 0}, 
[162] = {1, 0}, 
[163] = {1, 3}, 
[164] = {1, 3}, 
[165] = {7, 3}, 
[166] = {7, 3}, 
[167] = {7, 4}, 
[168] = {7, 4}, 
[169] = {4, 3}, 
[170] = {11, 13}, 
[171] = {11, 13}, 
[172] = {13, 0}, 
[173] = {18, 0}, 
[174] = {1, 18}, 
[175] = {18, 0}, 
[176] = {18, 3}, 
[177] = {14, 3}, 
[178] = {14, 3}, 
[179] = {13, 0}, 
[180] = {13, 0}, 
[181] = {13, 0}, 
[182] = {12, 0}, 
[183] = {11, 18}, 
[184] = {11, 18}, 
[185] = {6, 0}, 
[186] = {11, 0}, 
[187] = {12, 3}, 
[188] = {12, 3}, 
[189] = {12, 3}, 
[190] = {1, 0}, 
[191] = {12, 0}, 
[192] = {12, 0}, 
[193] = {7, 3}, 
[194] = {11, 5}, 
[195] = {11, 5}, 
[196] = {14, 0}, 
[197] = {17, 0}, 
[198] = {17, 3}, 
[199] = {11, 14}, 
[200] = {8, 0}, 
[201] = {14, 0}, 
[202] = {14, 0}, 
[203] = {1, 14}, 
[204] = {7, 0}, 
[205] = {7, 9}, 
[206] = {1, 0}, 
[207] = {5, 3}, 
[208] = {9, 5}, 
[209] = {18, 0}, 
[210] = {18, 0}, 
[211] = {11, 4}, 
[212] = {7, 9}, 
[213] = {7, 6}, 
[214] = {7, 2}, 
[215] = {17, 15}, 
[216] = {1, 0}, 
[217] = {1, 0}, 
[218] = {10, 0}, 
[219] = {10, 6}, 
[220] = {15, 5}, 
[221] = {15, 5}, 
[222] = {11, 6}, 
[223] = {11, 0}, 
[224] = {11, 0}, 
[225] = {15, 3}, 
[226] = {11, 3}, 
[227] = {9, 3}, 
[228] = {17, 10}, 
[229] = {17, 10}, 
[230] = {11, 16}, 
[231] = {5, 0}, 
[232] = {5, 0}, 
[233] = {1, 0}, 
[234] = {1, 0}, 
[235] = {1, 0}, 
[236] = {2, 0}, 
[237] = {2, 0}, 
[238] = {15, 14}, 
[239] = {13, 0}, 
[240] = {10, 0}, 
[241] = {1, 0}, 
[242] = {1, 0}, 
[243] = {13, 0}, 
[244] = {10, 0}, 
[245] = {11, 0}, 
[246] = {6, 5}, 
[247] = {6, 5}, 
[248] = {6, 17}, 
[249] = {14, 3}, 
[250] = {10, 3}, 
[251] = {14, 12}, 
[252] = {12, 0}, 
[253] = {12, 0}, 
[254] = {12, 0}, 
[255] = {10, 0}, 
[256] = {10, 2}, 
[257] = {10, 2}, 
[258] = {11, 0}, 
[259] = {11, 5}, 
[260] = {11, 5}, 
[261] = {17, 0}, 
[262] = {17, 0}, 
[263] = {1, 0}, 
[264] = {1, 0}, 
[265] = {7, 0}, 
[266] = {7, 0}, 
[267] = {7, 3}, 
[268] = {7, 0}, 
[269] = {7, 4}, 
[270] = {11, 12}, 
[271] = {11, 12}, 
[272] = {11, 12}, 
[273] = {12, 0}, 
[274] = {12, 17}, 
[275] = {12, 17}, 
[276] = {1, 3}, 
[277] = {1, 3}, 
[278] = {11, 3}, 
[279] = {11, 3}, 
[280] = {14, 18}, 
[281] = {14, 18}, 
[282] = {14, 18}, 
[283] = {7, 11}, 
[284] = {7, 3}, 
[285] = {12, 0}, 
[286] = {12, 2}, 
[287] = {1, 0}, 
[288] = {1, 0}, 
[289] = {1, 0}, 
[290] = {7, 5}, 
[291] = {7, 3}, 
[292] = {7, 8}, 
[293] = {1, 0}, 
[294] = {1, 0}, 
[295] = {1, 0}, 
[296] = {2, 0}, 
[297] = {2, 0}, 
[298] = {1, 18}, 
[299] = {6, 0}, 
[300] = {1, 0}, 
[301] = {1, 0}, 
[302] = {17, 8}, 
[303] = {9, 18}, 
[304] = {9, 6}, 
[305] = {9, 6}, 
[306] = {9, 6}, 
[307] = {2, 14}, 
[308] = {2, 14}, 
[309] = {13, 0}, 
[310] = {13, 0}, 
[311] = {13, 0}, 
[312] = {13, 0}, 
[313] = {7, 0}, 
[314] = {7, 0}, 
[315] = {12, 4}, 
[316] = {4, 0}, 
[317] = {4, 0}, 
[318] = {11, 17}, 
[319] = {11, 17}, 
[320] = {11, 0}, 
[321] = {11, 0}, 
[322] = {10, 5}, 
[323] = {10, 5}, 
[324] = {10, 0}, 
[325] = {14, 0}, 
[326] = {14, 0}, 
[327] = {1, 0}, 
[328] = {5, 0}, 
[329] = {5, 16}, 
[330] = {5, 16}, 
[331] = {12, 0}, 
[332] = {12, 17}, 
[333] = {1, 3}, 
[334] = {16, 3}, 
[335] = {1, 0}, 
[336] = {4, 0}, 
[337] = {6, 14}, 
[338] = {6, 14}, 
[339] = {11, 5}, 
[340] = {11, 5}, 
[341] = {11, 0}, 
[342] = {11, 17}, 
[343] = {5, 14}, 
[344] = {5, 14}, 
[345] = {6, 12}, 
[346] = {6, 12}, 
[347] = {6, 7}, 
[348] = {6, 7}, 
[349] = {11, 0}, 
[350] = {11, 0}, 
[351] = {1, 0}, 
[352] = {1, 0}, 
[353] = {8, 0}, 
[354] = {8, 0}, 
[355] = {8, 0}, 
[356] = {8, 0}, 
[357] = {12, 3}, 
[358] = {14, 0}, 
[359] = {17, 0}, 
[360] = {14, 0}, 
[361] = {15, 0}, 
[362] = {15, 0}, 
[363] = {15, 11}, 
[364] = {15, 11}, 
[365] = {15, 11}, 
[366] = {11, 0}, 
[367] = {11, 0}, 
[368] = {11, 0}, 
[369] = {11, 6}, 
[370] = {11, 0}, 
[371] = {16, 0}, 
[372] = {16, 0}, 
[373] = {16, 3}, 
[374] = {9, 14}, 
[375] = {9, 14}, 
[376] = {9, 14}, 
[377] = {6, 0}, 
[378] = {15, 0}, 
[379] = {9, 0}, 
[380] = {16, 14}, 
[381] = {16, 14}, 
[382] = {11, 0}, 
[383] = {5, 0}, 
[384] = {16, 3}, 
[385] = {9, 14}, 
[386] = {14, 0}, 
[387] = {12, 0}, 
[388] = {12, 0}, 
[389] = {12, 5}, 
[390] = {10, 0}, 
[391] = {10, 2}, 
[392] = {10, 2}, 
[393] = {11, 0}, 
[394] = {11, 0}, 
[395] = {11, 9}, 
[396] = {1, 3}, 
[397] = {1, 3}, 
[398] = {1, 3}, 
[399] = {1, 0}, 
[400] = {1, 11}, 
[401] = {7, 0}, 
[402] = {7, 0}, 
[403] = {13, 0}, 
[404] = {13, 0}, 
[405] = {13, 0}, 
[406] = {12, 4}, 
[407] = {12, 4}, 
[408] = {6, 0}, 
[409] = {6, 0}, 
[410] = {6, 9}, 
[411] = {6, 9}, 
[412] = {7, 0}, 
[413] = {7, 12}, 
[414] = {7, 3}, 
[415] = {7, 3}, 
[416] = {7, 3}, 
[417] = {13, 0}, 
[418] = {11, 0}, 
[419] = {11, 0}, 
[420] = {12, 0}, 
[421] = {12, 0}, 
[422] = {11, 0}, 
[423] = {11, 5}, 
[424] = {1, 0}, 
[425] = {8, 3}, 
[426] = {8, 3}, 
[427] = {1, 0}, 
[428] = {1, 0}, 
[429] = {8, 0}, 
[430] = {17, 3}, 
[431] = {1, 0}, 
[432] = {1, 0}, 
[433] = {14, 0}, 
[434] = {4, 17}, 
[435] = {4, 17}, 
[436] = {9, 14}, 
[437] = {9, 14}, 
[438] = {6, 0}, 
[439] = {14, 18}, 
[440] = {1, 0}, 
[441] = {1, 3}, 
[442] = {8, 17}, 
[443] = {16, 5}, 
[444] = {16, 5}, 
[445] = {16, 5}, 
[446] = {1, 0}, 
[447] = {2, 0}, 
[448] = {2, 9}, 
[449] = {5, 0}, 
[450] = {5, 0}, 
[451] = {4, 7}, 
